"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.446083327E-3,-4.806504822E-1,1.707798615E0,9.449848938E0
1.337908334E-2,-5.548960876E-1,1.533411255E0,9.562863922E0
2.331108334E-2,-6.908134460E-1,1.528022461E0,9.787247314E0
3.324408333E-2,-7.083270264E-1,1.569486237E0,9.990674286E0
4.317608333E-2,-6.860234070E-1,1.546434174E0,1.009755203E1
5.310908334E-2,-7.182064819E-1,1.519939270E0,1.004396347E1
6.304108334E-2,-6.833290100E-1,1.524729309E0,9.828860779E0
7.297408333E-2,-5.963598633E-1,1.567839661E0,9.585616608E0
8.290708333E-2,-5.647755432E-1,1.577419739E0,9.411828003E0
9.283908333E-2,-5.622308350E-1,1.545835419E0,9.320817261E0
1.027720833E-1,-5.719606018E-1,1.532363434E0,9.305249634E0
1.127040833E-1,-5.490582275E-1,1.509311371E0,9.335786133E0
1.226370833E-1,-5.031037903E-1,1.539997559E0,9.340725861E0
1.325690833E-1,-4.668791199E-1,1.613943787E0,9.466763763E0
1.425020833E-1,-4.649331665E-1,1.633702698E0,9.591903534E0
1.524350833E-1,-4.748126221E-1,1.579814758E0,9.706116028E0
1.623670833E-1,-4.734654236E-1,1.514849854E0,9.788594513E0
1.723000833E-1,-4.685256958E-1,1.349294128E0,9.857750702E0
1.822320833E-1,-7.232958984E-1,1.117725677E0,9.729317780E0
1.921650833E-1,-6.830296326E-1,1.367556152E0,9.701625366E0
2.020970833E-1,-4.572990417E-1,1.516945496E0,9.536668396E0
2.120300833E-1,-3.688330078E-1,1.369951172E0,9.309291229E0
2.219630833E-1,-4.176315308E-1,1.381177826E0,9.376800842E0
2.318950833E-1,-5.029541016E-1,1.516047363E0,9.485175476E0
2.418280833E-1,-5.475613403E-1,1.590592346E0,9.559870148E0
2.517600833E-1,-5.412744141E-1,1.594184875E0,9.627529449E0
2.616930833E-1,-4.511618042E-1,1.529968414E0,9.784852295E0
2.716250833E-1,-4.409829712E-1,1.293310547E0,1.010922775E1
2.815580833E-1,-1.116378479E0,7.247927856E-1,1.001492386E1
2.914900833E-1,-1.467398529E0,8.666976929E-1,9.565258942E0
3.014230833E-1,-9.412426758E-1,1.691332855E0,9.295519867E0
3.113560833E-1,-2.472857666E-1,2.039808197E0,9.559121704E0
3.212880833E-1,-2.381547546E-1,1.622775421E0,1.002989273E1
3.312210833E-1,-7.384144592E-1,1.183888092E0,1.005264542E1
3.411530833E-1,-1.137634277E0,9.982740784E-1,9.630223846E0
3.510860833E-1,-8.628057861E-1,1.307530975E0,9.286987610E0
3.610180833E-1,-2.498304749E-1,1.725461884E0,9.305099945E0
3.709510833E-1,-2.441423035E-1,1.534309387E0,9.372160492E0
3.808840833E-1,-5.183720398E-1,1.257534943E0,9.524393921E0
3.908160000E-1,-5.830375671E-1,1.203048248E0,9.792935486E0
4.007490000E-1,-4.885839844E-1,1.259480896E0,1.001776794E1
4.106810000E-1,-5.517526245E-1,1.281335449E0,9.962832184E0
4.206140000E-1,-5.388793945E-1,1.312919769E0,9.859397278E0
4.305460000E-1,-4.242178345E-1,1.321901093E0,9.833201752E0
4.404790000E-1,-3.480262756E-1,1.230890350E0,9.869426422E0
4.504120000E-1,-3.606001282E-1,1.121767273E0,9.876910858E0
4.603440000E-1,-4.195774841E-1,1.016386414E0,9.833052063E0
4.702770000E-1,-3.872447205E-1,9.752220154E-1,9.776320038E0
4.802090000E-1,-3.995191956E-1,9.891430664E-1,9.764195251E0
4.901420000E-1,-3.715274048E-1,1.046024780E0,9.810000000E0
5.000740000E-1,-3.785627747E-1,1.097966766E0,9.802365875E0
5.100070000E-1,-4.420307922E-1,1.130898285E0,9.723928986E0
5.199400000E-1,-4.742138672E-1,1.225501556E0,9.759704590E0
5.298720000E-1,-5.252577209E-1,1.419348450E0,9.939780121E0
5.398050000E-1,-5.812413025E-1,1.546733551E0,1.002046234E1
5.497370000E-1,-6.119274902E-1,1.644031219E0,1.004890320E1
5.596700000E-1,-6.900650024E-1,1.786834259E0,9.972412262E0
5.696020000E-1,-7.613168335E-1,1.887724457E0,9.782606964E0
5.795350000E-1,-7.593708801E-1,1.876198425E0,9.650431824E0
5.894680000E-1,-6.539900208E-1,1.774859161E0,9.642498322E0
5.994000000E-1,-5.031037903E-1,1.644031219E0,9.621092834E0
6.093330000E-1,-3.335064697E-1,1.494941254E0,9.528585205E0
6.192650000E-1,-2.198927307E-1,1.445543976E0,9.410031738E0
6.291980000E-1,-1.104702759E-1,1.473535767E0,9.309141541E0
6.391300000E-1,-3.487747192E-2,1.446292419E0,9.413175201E0
6.490630000E-1,-1.077758789E-2,1.382974091E0,9.625882874E0
6.589960000E-1,-2.559677124E-2,1.366358643E0,9.679770813E0
6.689280000E-1,2.993774414E-4,1.447190552E0,9.583371277E0
6.788610000E-1,2.080673218E-2,1.553020477E0,9.598789215E0
6.887930000E-1,2.065704346E-2,1.640738068E0,9.652078400E0
6.987260000E-1,1.481918335E-2,1.693428497E0,9.701924744E0
7.086580000E-1,-1.496887207E-3,1.703757019E0,9.706415405E0
7.185910000E-1,-5.538482666E-2,1.712139587E0,9.706565094E0
7.285230000E-1,-1.305285645E-1,1.676363983E0,9.868228912E0
7.384560000E-1,-7.529342651E-2,1.672472076E0,9.837692413E0
7.483890000E-1,3.053649902E-2,1.622476044E0,9.765692139E0
7.583210000E-1,1.661544800E-2,1.557361450E0,9.709409180E0
