"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.958608333E-2,1.314016283E-1,1.265425533E-1,7.930336893E-2
2.951808333E-2,6.330044568E-2,9.550102055E-2,8.761780709E-2
3.945108333E-2,-1.261242479E-2,4.234299064E-2,9.051292390E-2
4.938408334E-2,-7.449632883E-2,-5.949185230E-3,9.243576974E-2
5.931608334E-2,-1.015148982E-1,-2.474684268E-2,9.287998825E-2
6.924908333E-2,-9.155296534E-2,-5.727075972E-3,1.021188051E-1
7.918108333E-2,-4.608881101E-2,3.499558568E-2,1.212690622E-1
8.911408334E-2,1.539262570E-2,8.654078841E-2,1.401935220E-1
9.904608333E-2,7.410094887E-2,1.343759596E-1,1.547655314E-1
1.089790833E-1,1.138406321E-1,1.788073480E-1,1.634738147E-1
1.189120833E-1,1.278792173E-1,2.104848474E-1,1.741312444E-1
1.288440833E-1,1.138170287E-1,2.262577116E-1,1.868810207E-1
1.387770833E-1,7.335188985E-2,2.181944549E-1,1.992743015E-1
1.487090833E-1,1.933640987E-2,1.827938557E-1,1.985236257E-1
1.586420833E-1,-3.847549111E-2,1.275332570E-1,1.913533360E-1
1.685740833E-1,-8.949389309E-2,6.776073575E-2,1.562977880E-1
1.785070833E-1,-1.257219464E-1,4.252541810E-2,7.521306723E-2
1.884400833E-1,-1.273562759E-1,3.348957375E-2,2.752215229E-2
1.983720833E-1,-7.165200263E-2,1.488766074E-2,2.460119687E-2
2.083050833E-1,-3.741458803E-2,5.221291631E-2,2.576215565E-2
2.182370833E-1,-3.824469820E-2,1.023985893E-1,2.285212092E-2
2.281700833E-1,-3.781316429E-2,1.307282597E-1,3.798855469E-2
2.381020833E-1,-2.958719060E-2,1.162774116E-1,7.006739825E-2
2.480350833E-1,-3.848914057E-2,8.420149237E-2,1.060566902E-1
2.579670833E-1,-7.421544939E-2,1.172036584E-2,1.313588470E-1
2.679000833E-1,-1.282365769E-1,-1.163768694E-1,1.188259721E-1
2.778330833E-1,-1.875441074E-1,-1.777177155E-1,7.464823779E-3
2.877650833E-1,-1.846560389E-1,-1.525993496E-1,-1.028771773E-1
2.976980833E-1,-1.207234040E-1,-1.084281653E-1,-1.103265733E-1
3.076300833E-1,-6.599186361E-2,-1.596756577E-1,-4.445328191E-2
3.175630833E-1,-9.605042636E-2,-2.280983925E-1,3.167767078E-3
3.274950833E-1,-1.481698155E-1,-2.604802549E-1,-8.717874065E-3
3.374280833E-1,-1.474582106E-1,-2.678111494E-1,-5.326936394E-2
3.473610833E-1,-1.156359985E-1,-1.612436026E-1,-5.440773815E-2
3.572930833E-1,-7.731630653E-2,-5.717312917E-2,-2.974287234E-2
3.672260833E-1,-5.544920266E-2,3.693068400E-2,-1.234451309E-2
3.771580833E-1,-5.282492563E-2,7.606770098E-2,-1.483350340E-2
3.870910833E-1,-6.556461751E-2,5.697412044E-2,-2.057919838E-2
3.970230000E-1,-7.451017946E-2,-9.666691534E-3,-9.723888710E-3
4.069560000E-1,-8.495050669E-2,-5.903820693E-2,-5.373697728E-3
4.168890000E-1,-8.128093928E-2,-8.212781698E-2,-6.595555693E-3
4.268210000E-1,-9.106252342E-2,-8.922010660E-2,-1.956906170E-2
4.367540000E-1,-1.138690338E-1,-7.232048362E-2,-3.536507115E-2
4.466860000E-1,-1.281218529E-1,-6.365482509E-2,-6.616323441E-2
4.566190000E-1,-1.292214692E-1,-5.259205773E-2,-1.103133857E-1
4.665510000E-1,-1.316132993E-1,-3.891645372E-2,-1.520777941E-1
4.764840000E-1,-1.446329653E-1,-2.095449716E-2,-1.896363646E-1
4.864170000E-1,-1.657429636E-1,-9.296815842E-4,-2.058618814E-1
4.963490000E-1,-1.712591648E-1,6.127430126E-3,-1.996388733E-1
5.062820000E-1,-1.445833743E-1,7.241214626E-3,-1.899307072E-1
5.162140000E-1,-1.055414230E-1,-1.900796592E-2,-1.738457531E-1
5.261470000E-1,-7.138717175E-2,-5.400905386E-2,-1.369260550E-1
5.360790000E-1,-4.359335825E-2,-9.530162811E-2,-9.707345814E-2
5.460120000E-1,-3.794965800E-3,-1.368350238E-1,-6.256850064E-2
5.559450000E-1,2.873128653E-2,-1.453582048E-1,-2.775646001E-2
5.658770000E-1,6.324499846E-2,-1.272175163E-1,-1.901818439E-3
5.758100000E-1,8.777617663E-2,-1.054688096E-1,9.264016524E-3
5.857420000E-1,9.626904875E-2,-8.539925516E-2,8.754502051E-4
5.956750000E-1,9.850370884E-2,-5.728133768E-2,-2.355292626E-2
6.056070000E-1,1.042933911E-1,-1.362116262E-2,-5.246436223E-2
6.155400000E-1,1.224545538E-1,3.382465243E-2,-7.687409967E-2
6.254730000E-1,1.402024776E-1,7.945703715E-2,-8.941094577E-2
6.354050000E-1,1.424611062E-1,8.347494900E-2,-9.096516669E-2
6.453380000E-1,1.122742444E-1,4.637500271E-2,-8.311585337E-2
6.552700000E-1,6.500339508E-2,2.916208468E-3,-7.686168700E-2
6.652030000E-1,1.241322607E-2,-3.944215924E-2,-6.039789692E-2
6.751350000E-1,-5.315805972E-2,-8.288417757E-2,-4.228866845E-2
6.850680000E-1,-1.284526438E-1,-1.155225635E-1,-2.453052998E-2
6.950000000E-1,-1.977773905E-1,-1.331646740E-1,-9.631528519E-4
7.049330000E-1,-2.488208711E-1,-1.235844940E-1,1.531964168E-2
7.148660000E-1,-2.765891254E-1,-1.061839387E-1,3.776902333E-2
7.247980000E-1,-2.940859199E-1,-1.122074574E-1,5.499802530E-2
7.347310000E-1,-2.773522139E-1,-1.186704189E-1,7.058737427E-2
7.446630000E-1,-2.492072582E-1,-1.038418934E-1,7.092884183E-2
7.545960000E-1,-2.093945891E-1,-8.644186705E-2,6.635459512E-2
7.645280000E-1,-1.774863899E-1,-7.740228623E-2,6.324282289E-2
7.744610000E-1,-1.715097129E-1,-6.873476505E-2,6.916730106E-2
7.843940000E-1,-1.673313081E-1,-5.908083171E-2,6.772004068E-2
