"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.004350185E-1,4.356515300E1,1.392583764E0,1.571142731E2,-1.000000000E0,-1.000000000E0,6.693864595E2,6.693864595E2
1.015330553E-1,4.356515781E1,1.392550914E0,1.571142731E2,-1.000000000E0,-1.000000000E0,6.693864606E2,6.693864606E2
4.269559383E-1,4.356506935E1,1.392553762E0,1.584749031E2,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
6.890730977E0,4.356508108E1,1.392410241E0,1.585069313E2,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.337912798E1,4.356509253E1,1.392329413E0,1.585085297E2,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.984011197E1,4.356509829E1,1.392363660E0,1.584139633E2,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
2.636791205E1,4.356509300E1,1.392336404E0,1.583814697E2,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
3.282466304E1,4.356509810E1,1.392306284E0,1.583598976E2,-1.000000000E0,-1.000000000E0,5.866666667E1,5.866666667E1
3.403033996E1,4.356510045E1,1.392303769E0,1.583515968E2,-1.000000000E0,-1.000000000E0,5.866666667E1,5.866666667E1
4.046251702E1,4.356499125E1,1.392022746E0,1.583451729E2,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
4.691594398E1,4.356495352E1,1.392041045E0,1.583153534E2,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
4.944608402E1,4.356495278E1,1.392053235E0,1.583023682E2,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
5.594815600E1,4.356498631E1,1.392018348E0,1.581720009E2,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
6.244421995E1,4.356498849E1,1.392014704E0,1.580710793E2,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
6.890730500E1,4.356495494E1,1.392071896E0,1.580185890E2,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
7.534492195E1,4.356485328E1,1.392304627E0,1.580076332E2,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
7.872356701E1,4.356484300E1,1.392330928E0,1.580018616E2,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
8.524504495E1,4.356493851E1,1.392545082E0,1.581362724E2,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
8.894096065E1,4.356489231E1,1.392373328E0,1.585954758E2,5.873026917E-1,-1.000000000E0,2.301552175E1,2.301552175E1
8.989096069E1,4.356488312E1,1.392375940E0,1.586051726E2,5.318558449E-1,-1.000000000E0,2.238326404E1,2.238326404E1
9.084096026E1,4.356487371E1,1.392366072E0,1.586301277E2,1.352804716E-1,-1.000000000E0,2.210210328E1,2.210210328E1
9.179096019E1,4.356486635E1,1.392363922E0,1.586331439E2,4.280881331E-1,-1.000000000E0,2.221509806E1,2.221509806E1
9.274095953E1,4.356486586E1,1.392361759E0,1.586370591E2,4.905437416E-1,-1.000000000E0,2.294957433E1,2.294957433E1
9.369095922E1,4.356487044E1,1.392364199E0,1.586386720E2,4.134319241E-1,-1.000000000E0,2.471525283E1,2.471525283E1
9.464095891E1,4.356488054E1,1.392364292E0,1.586393844E2,3.939625335E-1,-1.000000000E0,2.633484351E1,2.633484351E1
9.559095919E1,4.356488137E1,1.392361927E0,1.586415856E2,4.417556806E-1,-1.000000000E0,2.820668882E1,2.820668882E1
9.655095887E1,4.356488871E1,1.392386018E0,1.586397170E2,3.077071800E-1,-1.000000000E0,2.748987697E1,2.748987697E1
9.755095875E1,4.356488871E1,1.392400480E0,1.586402565E2,4.426175457E-1,-1.000000000E0,2.704481474E1,2.704481474E1
9.855095828E1,4.356488877E1,1.392412796E0,1.586396487E2,4.247746084E-1,-1.000000000E0,2.727335436E1,2.727335436E1
9.955095768E1,4.356488662E1,1.392415743E0,1.586379451E2,4.247583028E-1,-1.000000000E0,2.916183318E1,2.916183318E1
1.005509576E2,4.356488427E1,1.392414986E0,1.586368179E2,3.389274715E-1,-1.000000000E0,3.035773232E1,3.035773232E1
1.015509574E2,4.356488101E1,1.392415302E0,1.586354558E2,3.389156545E-1,-1.000000000E0,3.376614992E1,3.376614992E1
1.025509568E2,4.356487822E1,1.392415576E0,1.586339922E2,3.389405822E-1,-1.000000000E0,3.721598380E1,3.721598380E1
1.035509566E2,4.356487547E1,1.392415846E0,1.586327027E2,3.389555573E-1,-1.000000000E0,4.106069336E1,4.106069336E1
1.045509558E2,4.356487181E1,1.392416205E0,1.586316446E2,3.389638113E-1,-1.000000000E0,4.682752995E1,4.682752995E1
