"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.958608333E-2,1.839072609E1,3.549049377E0,-3.546667480E1
2.951808333E-2,1.878084755E1,3.801689148E0,-3.573263550E1
3.945108333E-2,1.870143509E1,3.762062073E0,-3.586831665E1
4.938408334E-2,1.884443855E1,3.795051575E0,-3.635629272E1
5.931608334E-2,1.854377365E1,3.574089050E0,-3.585195923E1
6.924908333E-2,1.871081924E1,3.788955688E0,-3.651446533E1
7.918108333E-2,1.846974373E1,3.704010010E0,-3.603640747E1
8.911408334E-2,1.883315277E1,4.158233643E0,-3.624957275E1
9.904608333E-2,1.870455170E1,3.647079468E0,-3.592282104E1
1.089790833E-1,1.921615219E1,3.852294922E0,-3.611245728E1
1.189120833E-1,1.905404854E1,3.341705322E0,-3.585671997E1
1.288440833E-1,1.932549095E1,3.610221863E0,-3.641967773E1
1.387770833E-1,1.897261238E1,3.285079956E0,-3.630487061E1
1.487090833E-1,1.897261238E1,3.285079956E0,-3.630487061E1
1.586420833E-1,1.939667130E1,3.353858948E0,-3.599630737E1
1.685740833E-1,1.919125748E1,3.162460327E0,-3.565045166E1
1.785070833E-1,1.956898880E1,3.740432739E0,-3.627465820E1
1.884400833E-1,1.918830872E1,3.485748291E0,-3.564102173E1
1.983720833E-1,1.968238449E1,3.840972900E0,-3.581036377E1
2.083050833E-1,1.938014221E1,3.243446350E0,-3.558288574E1
2.182370833E-1,1.945714951E1,3.760810852E0,-3.584640503E1
2.281700833E-1,1.905673981E1,3.516410828E0,-3.574890137E1
2.381020833E-1,1.947702789E1,3.716827393E0,-3.570928955E1
2.480350833E-1,1.940894699E1,3.369613647E0,-3.567144775E1
2.579670833E-1,1.963239670E1,3.576889038E0,-3.590176392E1
2.679000833E-1,1.959958267E1,3.418167114E0,-3.565335083E1
2.778330833E-1,1.975613403E1,3.844299316E0,-3.565304565E1
2.877650833E-1,1.945874405E1,3.366325378E0,-3.566571045E1
2.976980833E-1,1.965453720E1,3.813796997E0,-3.576358032E1
3.076300833E-1,1.922600555E1,3.638534546E0,-3.534289551E1
3.175630833E-1,1.959479332E1,4.003639221E0,-3.551828003E1
3.274950833E-1,1.915011215E1,3.619606018E0,-3.525698853E1
3.374280833E-1,1.929912567E1,4.029525757E0,-3.571392822E1
3.473610833E-1,1.876984406E1,4.026222229E0,-3.560443115E1
3.572930833E-1,1.912812996E1,4.255149841E0,-3.603042603E1
3.672260833E-1,1.905490112E1,4.063423157E0,-3.595895386E1
3.771580833E-1,1.943063736E1,4.117935181E0,-3.661270142E1
3.870910833E-1,1.906925583E1,3.890602112E0,-3.581900024E1
3.970230000E-1,1.932578087E1,4.456375122E0,-3.583502197E1
4.069560000E-1,1.904876709E1,3.975517273E0,-3.564535522E1
4.168890000E-1,1.924137497E1,4.426467896E0,-3.597528076E1
4.268210000E-1,1.892885971E1,4.146682739E0,-3.556500244E1
4.367540000E-1,1.903168678E1,4.255279541E0,-3.586904907E1
4.466860000E-1,1.869927216E1,4.068992615E0,-3.571871948E1
4.566190000E-1,1.888035965E1,4.430549622E0,-3.611776733E1
4.665510000E-1,1.880781555E1,4.431175232E0,-3.587908936E1
4.764840000E-1,1.927042007E1,4.629287720E0,-3.566366577E1
4.864170000E-1,1.879342842E1,4.531867981E0,-3.544024658E1
4.963490000E-1,1.923330498E1,4.606246948E0,-3.597610474E1
5.062820000E-1,1.901843262E1,4.735649109E0,-3.575827026E1
5.162140000E-1,1.924961853E1,4.973892212E0,-3.637396240E1
5.261470000E-1,1.873022079E1,4.715415955E0,-3.628726196E1
5.360790000E-1,1.906808090E1,5.186393738E0,-3.660052490E1
5.460120000E-1,1.863923264E1,5.154693604E0,-3.589736938E1
5.559450000E-1,1.877667618E1,5.345466614E0,-3.599911499E1
5.658770000E-1,1.850171661E1,5.170448303E0,-3.611499023E1
5.758100000E-1,1.890506363E1,5.211624146E0,-3.652987671E1
5.857420000E-1,1.861558533E1,5.051490784E0,-3.630941772E1
5.956750000E-1,1.890588188E1,5.120056152E0,-3.629342651E1
6.056070000E-1,1.855875015E1,4.939514160E0,-3.602490234E1
6.155400000E-1,1.904603195E1,5.047248840E0,-3.660232544E1
6.254730000E-1,1.866125298E1,4.911140442E0,-3.638131714E1
6.354050000E-1,1.902706718E1,5.149269104E0,-3.646798706E1
6.453380000E-1,1.864640236E1,4.983489990E0,-3.638992310E1
6.552700000E-1,1.873252869E1,5.036010742E0,-3.657025146E1
6.652030000E-1,1.848374939E1,4.659629822E0,-3.628558350E1
6.751350000E-1,1.875830460E1,4.845466614E0,-3.593597412E1
6.850680000E-1,1.845292282E1,4.952705383E0,-3.586367798E1
6.950000000E-1,1.898855782E1,4.953086853E0,-3.622067261E1
7.049330000E-1,1.872759438E1,4.751609802E0,-3.595245361E1
7.148660000E-1,1.870295715E1,5.038154602E0,-3.613378906E1
7.247980000E-1,1.843969345E1,4.959091187E0,-3.635598755E1
7.347310000E-1,1.855167770E1,5.128250122E0,-3.629827881E1
7.446630000E-1,1.827566528E1,4.953010559E0,-3.617880249E1
7.545960000E-1,1.866207504E1,5.492401123E0,-3.651632690E1
7.645280000E-1,1.815265656E1,5.279151917E0,-3.641998291E1
7.744610000E-1,1.845303345E1,5.461021423E0,-3.624493408E1
7.843940000E-1,1.801895523E1,5.288909912E0,-3.646151733E1
7.943260000E-1,1.829874802E1,5.817749023E0,-3.668328857E1
8.042590000E-1,1.790965652E1,5.357734680E0,-3.635562134E1
8.141910000E-1,1.830545235E1,5.812026978E0,-3.632046509E1
8.241240000E-1,1.820133972E1,5.372161865E0,-3.641329956E1
8.340560000E-1,1.836145210E1,5.614532471E0,-3.681408691E1
8.439890000E-1,1.790839005E1,5.322021484E0,-3.661096191E1
8.539220000E-1,1.831355286E1,5.635971069E0,-3.660540771E1
8.638540000E-1,1.805498123E1,5.309333801E0,-3.626712036E1
8.737870000E-1,1.830895615E1,5.666999817E0,-3.604168701E1
8.837190000E-1,1.790715790E1,5.506149292E0,-3.633255005E1
8.936520000E-1,1.807378006E1,5.858329773E0,-3.628216553E1
9.035840000E-1,1.807448196E1,5.906051636E0,-3.649731445E1
9.135170000E-1,1.816483688E1,5.893272400E0,-3.596301270E1
9.234500000E-1,1.778483963E1,5.459938049E0,-3.588259888E1
9.333820000E-1,1.794880295E1,5.698562622E0,-3.592129517E1
9.433150000E-1,1.778405762E1,5.465553284E0,-3.634506226E1
9.532470000E-1,1.791460800E1,5.648460388E0,-3.655804443E1
9.631800000E-1,1.768390846E1,5.761444092E0,-3.653842163E1
9.731120000E-1,1.782033539E1,6.211265564E0,-3.616827393E1
9.830450000E-1,1.762586975E1,5.945045471E0,-3.649911499E1
9.929780000E-1,1.823426819E1,5.841529846E0,-3.641693115E1
1.002910000E0,1.782731628E1,5.631126404E0,-3.670376587E1
1.012843000E0,1.801846313E1,5.899368286E0,-3.607876587E1
1.022775000E0,1.776177979E1,5.862617493E0,-3.643658447E1
1.032708000E0,1.809088135E1,5.948287964E0,-3.660137939E1
1.042640000E0,1.781404877E1,5.963638306E0,-3.658630371E1
1.052573000E0,1.828744507E1,6.098617554E0,-3.641537476E1
1.062506000E0,1.800141907E1,5.933998108E0,-3.637756348E1
1.072438000E0,1.802191544E1,6.193336487E0,-3.596514893E1
1.082371000E0,1.821054840E1,5.997451782E0,-3.623245239E1
1.092303000E0,1.817749596E1,6.203125000E0,-3.639617920E1
1.102236000E0,1.783457184E1,6.012474060E0,-3.640423584E1
1.112168000E0,1.794520569E1,6.503921509E0,-3.634796143E1
1.122101000E0,1.790089417E1,6.112937927E0,-3.684912109E1
1.132033000E0,1.790089417E1,6.112937927E0,-3.684912109E1
1.141966000E0,1.801860809E1,6.274955750E0,-3.671789551E1
1.151899000E0,1.774542618E1,5.944046021E0,-3.682687378E1
1.161831000E0,1.778937912E1,6.378234863E0,-3.636767578E1
1.171764000E0,1.764514542E1,6.009407043E0,-3.697698975E1
1.181696000E0,1.785882950E1,6.088317871E0,-3.646313477E1
1.191629000E0,1.771728516E1,5.924018860E0,-3.694827271E1
1.201561000E0,1.777511406E1,6.192756653E0,-3.627349854E1
1.211494000E0,1.724264145E1,6.026672363E0,-3.685110474E1
1.221427000E0,1.716581345E1,6.261970520E0,-3.670715332E1
1.231359000E0,1.708841705E1,5.921699524E0,-3.703979492E1
1.241292000E0,1.712456131E1,6.213668823E0,-3.705041504E1
1.251224000E0,1.688324547E1,5.948654175E0,-3.707034302E1
1.261157000E0,1.709478951E1,6.119888306E0,-3.691183472E1
1.271089000E0,1.664123535E1,5.726844788E0,-3.736398315E1
1.281022000E0,1.681920624E1,6.008949280E0,-3.686569214E1
1.290955000E0,1.642177773E1,5.605865479E0,-3.709960938E1
1.300887000E0,1.667948151E1,5.574935913E0,-3.724359131E1
1.310820000E0,1.630297852E1,5.662414551E0,-3.770336914E1
1.320752000E0,1.694661331E1,5.712875366E0,-3.692327881E1
1.330685000E0,1.695169449E1,5.444961548E0,-3.730786133E1
1.340617000E0,1.726536942E1,5.456153870E0,-3.689083862E1
1.350550000E0,1.703369141E1,4.873863220E0,-3.671099854E1
1.360483000E0,1.751318359E1,4.955085754E0,-3.619393921E1
1.370415000E0,1.730830765E1,4.651275635E0,-3.693246460E1
1.380348000E0,1.762518120E1,4.882133484E0,-3.663742065E1
1.390280208E0,1.763441467E1,4.587776184E0,-3.689801025E1
1.400213208E0,1.819948769E1,4.676002502E0,-3.640029907E1
1.410145208E0,1.807417297E1,4.004814148E0,-3.725930786E1
1.420078208E0,1.830266190E1,4.333137512E0,-3.664971924E1
1.430011208E0,1.841037369E1,3.832397461E0,-3.702835083E1
1.439943208E0,1.852223396E1,3.746200562E0,-3.620199585E1
1.449876208E0,1.842565536E1,3.621025085E0,-3.674740601E1
1.459808208E0,1.849728394E1,4.150909424E0,-3.633822632E1
1.469741208E0,1.828681946E1,3.989784241E0,-3.689944458E1
1.479673208E0,1.817914963E1,4.383384705E0,-3.637359619E1
1.489606208E0,1.782717323E1,4.050476074E0,-3.659799194E1
1.499539208E0,1.792409515E1,4.372985840E0,-3.597726440E1
1.509471208E0,1.767766953E1,4.021583557E0,-3.619558716E1
1.519404208E0,1.789875031E1,4.160995483E0,-3.621212769E1
1.529336208E0,1.800743103E1,3.636039734E0,-3.679153442E1
1.539269208E0,1.771331787E1,3.749824524E0,-3.644125366E1
1.549201208E0,1.763839722E1,3.380462646E0,-3.692373657E1
1.559134208E0,1.776870728E1,3.982353210E0,-3.665118408E1
1.569067208E0,1.769939804E1,3.594345093E0,-3.703890991E1
1.578999208E0,1.796476364E1,4.081893921E0,-3.662091064E1
1.588932208E0,1.774845123E1,3.694541931E0,-3.680917358E1
1.598864208E0,1.806450272E1,4.029541016E0,-3.663027954E1
1.608797208E0,1.778466415E1,3.789894104E0,-3.713052368E1
1.618729208E0,1.774005890E1,4.155265808E0,-3.657812500E1
1.628662208E0,1.756787109E1,3.541763306E0,-3.739419556E1
1.638595208E0,1.779500771E1,4.116233826E0,-3.661428833E1
1.648527208E0,1.743767166E1,3.512886047E0,-3.694442749E1
1.658460208E0,1.770320892E1,3.895996094E0,-3.645996094E1
1.668392208E0,1.740069580E1,3.610038757E0,-3.639810181E1
1.678325208E0,1.765957642E1,3.750900269E0,-3.624502563E1
1.688257208E0,1.772290802E1,3.667793274E0,-3.677520752E1
1.698190208E0,1.788854790E1,3.901130676E0,-3.663369751E1
1.708123208E0,1.777902603E1,3.472831726E0,-3.660128784E1
1.718055208E0,1.800106049E1,4.072937012E0,-3.621572876E1
1.727988208E0,1.784966850E1,3.481842041E0,-3.657513428E1
1.737920208E0,1.774818039E1,3.788063049E0,-3.638531494E1
1.747853208E0,1.770872879E1,3.350463867E0,-3.670089722E1
1.757785208E0,1.777887917E1,3.577743530E0,-3.604479980E1
1.767718208E0,1.752219009E1,3.337333679E0,-3.667807007E1
1.777651208E0,1.745726585E1,3.975959778E0,-3.620639038E1
1.787583208E0,1.759628296E1,3.471588135E0,-3.679064941E1
1.797516208E0,1.753393745E1,4.177146912E0,-3.629443359E1
1.807448208E0,1.721726990E1,3.475097656E0,-3.614782715E1
1.817381208E0,1.736316872E1,3.995422363E0,-3.571670532E1
1.827313208E0,1.725797272E1,3.562889099E0,-3.646414185E1
1.837246208E0,1.732819748E1,4.174537659E0,-3.638171387E1
1.847178208E0,1.719196320E1,3.726043701E0,-3.652630615E1
1.857111208E0,1.748646736E1,4.176017761E0,-3.615081787E1
1.867044208E0,1.718179703E1,3.703681946E0,-3.626986694E1
1.876976208E0,1.741370010E1,4.333763123E0,-3.615655518E1
1.886909208E0,1.727331352E1,3.814697266E0,-3.681317139E1
1.896841208E0,1.741551208E1,4.495376587E0,-3.630209351E1
1.906774208E0,1.704587173E1,3.834640503E0,-3.665734863E1
1.916707208E0,1.706957436E1,4.611801147E0,-3.655151367E1
1.926639208E0,1.685189819E1,4.003631592E0,-3.668820190E1
1.936572208E0,1.711838531E1,4.578147888E0,-3.648156738E1
1.946504208E0,1.695024872E1,3.858879089E0,-3.727462769E1
1.956437208E0,1.708457184E1,4.573692322E0,-3.678820801E1
1.966369208E0,1.696123314E1,3.883003235E0,-3.706164551E1
1.976302208E0,1.692440414E1,4.715415955E0,-3.682058716E1
1.986235208E0,1.677740860E1,3.998550415E0,-3.706201172E1
1.996167208E0,1.689516449E1,4.593185425E0,-3.710638428E1
2.006100208E0,1.683670044E1,4.134086609E0,-3.715924072E1
2.016032208E0,1.695135880E1,4.703620911E0,-3.655416870E1
2.025965208E0,1.676589966E1,3.855293274E0,-3.680166626E1
2.035897208E0,1.697901917E1,4.496116638E0,-3.645156860E1
2.045830208E0,1.685412598E1,3.882408142E0,-3.685733032E1
2.055763208E0,1.694512939E1,4.413047791E0,-3.694064331E1
2.065695208E0,1.704680634E1,3.837219238E0,-3.673812866E1
2.075628208E0,1.716135025E1,4.289848328E0,-3.635278320E1
2.085560208E0,1.686521530E1,3.700439453E0,-3.648913574E1
2.095493208E0,1.696793365E1,4.532928467E0,-3.621862793E1
2.105425208E0,1.683356857E1,4.115364075E0,-3.664669800E1
2.115358208E0,1.710868454E1,4.956802368E0,-3.636239624E1
2.125291208E0,1.710868454E1,4.956802368E0,-3.636239624E1
2.135223208E0,1.688041878E1,4.324943542E0,-3.683596802E1
2.145156208E0,1.713627243E1,4.807006836E0,-3.628125000E1
2.155088208E0,1.693598557E1,4.176399231E0,-3.664450073E1
2.165021208E0,1.727577591E1,4.742523193E0,-3.590710449E1
2.174953208E0,1.756788254E1,4.239891052E0,-3.603790283E1
2.184886208E0,1.762408829E1,4.854385376E0,-3.614874268E1
